"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","demoqa_tests","0","alert,confirm,prompt","6","0","Catching confirm","0"
"0","demoqa_tests","0","text_box","5","0","Filling out the form","0"
"0","demoqa_tests","0","widgets","1","0","checking auto complete","0"
"0","","0","","9","0","","0"
"0","demoqa_tests","0","radio_button","2","0","Filling in radio button","0"
"0","demoqa_tests","0","Download","1","0","Checking download","0"
"0","demoqa_tests","0","widgets","1","0","Checking accordian","0"
"0","demoqa_tests","0","modal_dialogs","2","0","Catching modal dialogs","0"
"0","demoqa_tests","0","alert,confirm,prompt","1","0","Catching alerts","0"
"0","demoqa_tests","0","browser_windows","3","0","Catching new page","0"
"0","demoqa_tests","0","Dynamic Properties","1","0","Checking enable buttons","0"
"0","demoqa_tests","0","practic_form","4","0","Filling out the form","0"
"0","demoqa_tests","0","Dynamic Properties","1","0","Checking dynamic text","0"
"0","demoqa_tests","0","Dynamic Properties","1","0","Checking invisible button","0"
"0","demoqa_tests","0","alert,confirm,prompt","1","0","Catching alerts delay 5 seconds","0"
"0","demoqa_tests","0","nested frames","1","0","Catching text in nested frames","0"
"0","demoqa_tests","0","buttons","1","0","Checking button presses","0"
"0","demoqa_tests","0","Upload","1","0","Checking upload","0"
"0","demoqa_tests","0","check_box","3","0","Filling in check boxes","0"
"0","demoqa_tests","0","Broken Links - Images","1","0","Checking img","0"
"0","demoqa_tests","0","web_tables","1","0","Checking add record","0"
"0","demoqa_tests","0","login","1","0","login test","0"
"0","demoqa_tests","0","Broken Links - Images","1","0","Checking links","0"
"0","demoqa_tests","0","Dynamic Properties","1","0","Checking color button","0"
"0","demoqa_tests","0","web_tables","1","0","Checking delete record","0"
"0","demoqa_tests","0","web_tables","1","0","Checking edit record","0"
"0","demoqa_tests","0","frames","1","0","Catching frames","0"
